#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
100,0.20000000000000015,-144990.44300681268,55.12821918857164
200,0.4000000000000003,-141986.66458868806,99.6043077508922
300,0.6000000000000004,-139643.92143317783,137.04082695684852
400,0.8000000000000006,-137761.03119646484,164.7488649964618
500,1.0000000000000007,-136039.1823872703,186.08514058886448
600,1.2000000000000008,-134725.75741303535,209.0570392805968
700,1.400000000000001,-133294.0128789474,221.5395156832201
800,1.6000000000000012,-132009.14325629474,233.4550135527107
900,1.8000000000000014,-131147.58316307512,248.0620470023688
1000,2.0000000000000013,-130264.64261680246,252.378829318109
