#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
100,0.20000000000000015,-148592.5685623932,54.242102075287605
200,0.4000000000000003,-145647.66443701106,97.66236234028919
300,0.6000000000000004,-143119.0514821732,134.69287301476933
400,0.8000000000000006,-141275.15566853844,165.98569517557124
500,1.0000000000000007,-139458.11508539197,186.81731555086077
600,1.2000000000000008,-138057.60293947833,206.73879883499725
700,1.400000000000001,-136707.23893535684,220.36733041168543
800,1.6000000000000012,-135639.5060849148,233.87390415370405
900,1.8000000000000014,-135260.23024111826,251.4510871490697
1000,2.0000000000000013,-134267.12625187865,256.13575903494393
1100,2.1999999999999793,-133337.6047878657,259.84840338150747
1200,2.3999999999999573,-132967.1515067162,268.46219861318065
1300,2.5999999999999353,-132537.02740667926,273.7462037999374
1400,2.7999999999999132,-132262.1864276852,279.4991900399687
1500,2.999999999999891,-131779.9678190524,280.11628529389213
1600,3.199999999999869,-131215.14398070154,283.1664330227538
1700,3.399999999999847,-131352.14702927382,288.7019782550416
1800,3.599999999999825,-130861.04713524716,288.15075780832245
1900,3.799999999999803,-130489.3751331336,289.14398053467613
2000,3.999999999999781,-130524.08068469961,292.59004894587883
2100,4.1999999999997595,-130209.16505349026,289.26783304243514
2200,4.3999999999997375,-130107.8565674907,288.7241443761603
2300,4.599999999999715,-130184.15108634382,288.8463012451853
2400,4.799999999999693,-129531.25698241289,288.0102333301434
2500,4.999999999999671,-129938.62281513984,294.35603022789314
2600,5.199999999999649,-129707.09998657163,291.21886012852144
2700,5.399999999999627,-129875.56222618697,291.2470879736851
2800,5.599999999999605,-130174.80969984898,296.49246716451285
2900,5.799999999999583,-129781.03635043839,288.95787356014193
3000,5.999999999999561,-130027.02030057537,295.11462986894503
3100,6.199999999999539,-130036.0425280386,295.06112557466514
3200,6.399999999999517,-129613.76281086195,293.69482602526705
3300,6.599999999999495,-129391.68203427234,292.0795604120715
3400,6.799999999999473,-129663.98018014916,301.1135831608235
3500,6.999999999999451,-129440.10002567201,296.3662973742257
3600,7.199999999999429,-129585.3828803632,300.66330350433356
3700,7.399999999999407,-128866.55348946077,290.6618155510234
3800,7.599999999999385,-128903.08454956915,293.3390741636189
3900,7.799999999999363,-129304.15782644587,299.7725456616943
4000,7.999999999999341,-129010.83041556443,296.8981224214023
4100,8.199999999999408,-128817.1826924426,296.09611505138906
4200,8.399999999999475,-128854.7343917971,297.4504427627169
4300,8.599999999999541,-128893.36017880002,300.3374884098422
4400,8.799999999999608,-128835.71888784076,301.0702748371543
4500,8.999999999999675,-128588.61042563737,301.20031353626416
4600,9.199999999999742,-128695.13660861299,301.4977571046881
4700,9.399999999999809,-128438.69957073014,300.14208333947073
4800,9.599999999999875,-128385.01610541192,296.40453102404115
4900,9.799999999999942,-128521.28496781088,294.3570091974257
5000,10.000000000000009,-129220.964384086,305.187713554717
5100,10.200000000000076,-128947.91719821598,300.49078279995945
5200,10.400000000000142,-128889.29757097067,296.5384389965856
5300,10.60000000000021,-129256.50133223001,299.40598474452486
5400,10.800000000000276,-129055.80298638617,299.99787513723857
5500,11.000000000000343,-129350.09917032161,300.8811092532709
5600,11.20000000000041,-129351.9430152816,299.7053531023072
5700,11.400000000000476,-129201.51510486721,294.85499450250336
5800,11.600000000000543,-129019.55717626498,298.1119762395333
5900,11.80000000000061,-129075.97237014983,301.86873530839375
6000,12.000000000000677,-128511.93558622336,296.8530789239235
6100,12.200000000000744,-129008.5912409813,305.8707869964476
6200,12.40000000000081,-128097.96719359561,289.4943566668124
6300,12.600000000000877,-129046.07845734205,304.25918198204874
6400,12.800000000000944,-129033.87177105347,301.02081281174236
6500,13.00000000000101,-129000.41141890238,300.81418374502306
