#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
100,0.20000000000000015,-148443.56590832782,55.29099269837592
200,0.4000000000000003,-145626.80594903207,100.88530527782898
300,0.6000000000000004,-143013.70582857786,134.37983309310297
400,0.8000000000000006,-141474.8786607344,168.94496076980892
500,1.0000000000000007,-139695.14155103642,189.55572942658415
600,1.2000000000000008,-138095.91446235505,205.45599680506254
700,1.400000000000001,-137163.04098224253,222.79960252427767
800,1.6000000000000012,-136142.07893378555,236.68629804614463
900,1.8000000000000014,-135273.41475175926,249.61936128922682
1000,2.0000000000000013,-134201.82643482048,254.57115777542626
1100,2.1999999999999793,-133760.41222108854,264.1943820428509
1200,2.3999999999999573,-132762.92054502736,264.981823162417
1300,2.5999999999999353,-132791.0237350438,271.8140615958643
1400,2.7999999999999132,-132120.92553515086,272.18082964631145
1500,2.999999999999891,-132092.58332903284,277.67316763006
1600,3.199999999999869,-131698.40688981197,278.12576497095966
1700,3.399999999999847,-131927.7105601524,288.0335708168625
1800,3.599999999999825,-131616.15409671693,286.02322948976536
1900,3.799999999999803,-131346.73474148774,288.4298660988421
2000,3.999999999999781,-130685.18813774968,284.42775723572316
2100,4.1999999999997595,-130862.38304466111,288.8053857386196
2200,4.3999999999997375,-131122.37988280956,291.88419039541355
2300,4.599999999999715,-130696.79491380193,288.3065802469117
2400,4.799999999999693,-130838.24395811924,293.2389731701071
2500,4.999999999999671,-130264.32106067544,292.28614486492927
2600,5.199999999999649,-130429.59625870454,296.1115478323489
2700,5.399999999999627,-130236.39033684426,293.30848683296983
2800,5.599999999999605,-130059.84007483577,293.1857511603757
2900,5.799999999999583,-130298.76987749212,297.9606347809075
3000,5.999999999999561,-130037.55958959834,295.0232550892084
3100,6.199999999999539,-129907.42788779824,297.9081219557889
3200,6.399999999999517,-129852.59097035714,301.25958797727316
3300,6.599999999999495,-129420.09985705114,301.35775743432015
3400,6.799999999999473,-129427.1941156415,304.67694953915736
3500,6.999999999999451,-129364.52181908095,307.40874837935144
3600,7.199999999999429,-129349.3943656094,305.0787829677453
3700,7.399999999999407,-129117.05010261576,301.74073881910124
3800,7.599999999999385,-129150.6430822733,305.57263346576866
3900,7.799999999999363,-129101.97707097065,303.23523341111746
4000,7.999999999999341,-128921.68671357207,302.99739568100154
4100,8.199999999999408,-129239.4493330253,303.64046220933443
