#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
100,0.20000000000000015,-169327.54667066818,53.88704224646294
200,0.4000000000000003,-166027.39162859734,100.21103943007165
300,0.6000000000000004,-163173.51913129856,134.8077990146069
400,0.8000000000000006,-160986.4882206301,166.1077387560066
500,1.0000000000000007,-158893.45303770516,191.31992029298988
600,1.2000000000000008,-157144.05704797845,210.36226514380812
700,1.400000000000001,-155925.60142613907,230.27228636745352
800,1.6000000000000012,-154549.82191922277,238.13888178221072
900,1.8000000000000014,-153545.00202922494,246.66561765413323
1000,2.0000000000000013,-152690.46680971084,255.27975482713367
1100,2.1999999999999793,-152414.30009171314,264.6916135410232
1200,2.3999999999999573,-151860.8387091426,270.9390272782109
1300,2.5999999999999353,-151437.92464456565,272.66098280914105
1400,2.7999999999999132,-150878.43413841142,278.3714773727435
1500,2.999999999999891,-150171.82364324,281.78228207796354
1600,3.199999999999869,-149993.79465900932,287.9215604032061
1700,3.399999999999847,-149453.7513255225,287.98172882729295
1800,3.599999999999825,-148962.90077733665,283.7449331467897
1900,3.799999999999803,-148941.18595874088,288.1631156616111
2000,3.999999999999781,-149151.82600934093,293.41081984538386
2100,4.1999999999997595,-149200.62103178713,292.9509440587267
2200,4.3999999999997375,-149243.81855959227,294.2864918159484
2300,4.599999999999715,-148965.9563776715,292.0215689895595
2400,4.799999999999693,-149219.7525792506,295.49277997007704
2500,4.999999999999671,-149098.6145146221,294.7775712215356
2600,5.199999999999649,-149012.9259005653,297.66769591322407
2700,5.399999999999627,-148548.08116418932,297.3468747092433
2800,5.599999999999605,-148535.3436850282,300.9289447106698
2900,5.799999999999583,-148478.69725677744,303.051400525024
3000,5.999999999999561,-147945.9998107684,294.28973359974304
3100,6.199999999999539,-148675.64616675136,304.0140817326623
3200,6.399999999999517,-148333.90426815438,294.199561944351
3300,6.599999999999495,-148766.2057458732,297.14225704958716
3400,6.799999999999473,-147867.35673680354,293.9829830048635
3500,6.999999999999451,-148343.05178410327,297.4572245499023
3600,7.199999999999429,-147907.5831307243,293.68016263461993
3700,7.399999999999407,-148503.67974855567,299.15288833824997
3800,7.599999999999385,-148241.24154539718,298.41642206392163
3900,7.799999999999363,-148673.12661958465,297.5167194740932
4000,7.999999999999341,-148802.6220300707,299.77743054414105
4100,8.199999999999408,-148280.78409468484,294.77358552435044
4200,8.399999999999475,-148311.68793317364,298.2016341573161
4300,8.599999999999541,-148408.06057802128,298.64019504830793
4400,8.799999999999608,-148144.19426380444,295.97046880535174
4500,8.999999999999675,-148493.10103433928,299.0803514873175
4600,9.199999999999742,-148832.37623871083,300.1419833964295
4700,9.399999999999809,-148570.185953084,302.4948783074462
4800,9.599999999999875,-148463.98141902414,302.060978374302
4900,9.799999999999942,-148484.8501179607,302.9791710275153
5000,10.000000000000009,-148248.25655550716,298.3756548403623
5100,10.200000000000076,-148068.77134868657,298.2907551571602
5200,10.400000000000142,-148098.13202076298,302.9055976344302
5300,10.60000000000021,-147881.09531542362,301.8324483111225
5400,10.800000000000276,-147952.23928207695,298.9579540460507
5500,11.000000000000343,-148011.5580621552,299.42428813404706
5600,11.20000000000041,-148227.8302997846,301.20363216649395
5700,11.400000000000476,-148321.68426459224,299.75762403703044
5800,11.600000000000543,-147808.494291579,297.97390920015175
5900,11.80000000000061,-147664.20956420084,300.30519432445146
6000,12.000000000000677,-147643.70453877855,304.6883048017305
6100,12.200000000000744,-147631.1094415822,302.2444088609142
6200,12.40000000000081,-147660.3324052472,301.224170697627
6300,12.600000000000877,-147693.16839685015,299.2902936507287
6400,12.800000000000944,-147841.13502482817,301.43433406506
6500,13.00000000000101,-147944.0826150723,304.89153909547
6600,13.200000000001078,-147890.060912599,307.19074165294853
6700,13.400000000001144,-147963.65418096347,305.26985091120366
6800,13.600000000001211,-148141.16483202428,308.11624091135155
6900,13.800000000001278,-147555.52439522432,300.28326893626354
7000,14.000000000001345,-147701.61894552654,302.758216506575
7100,14.200000000001411,-147814.537610482,300.8097468249885
7200,14.400000000001478,-148349.1794774664,306.90360943981494
7300,14.600000000001545,-147951.21502217057,300.9285177885886
7400,14.800000000001612,-147502.55684972982,302.4511681015725
7500,15.000000000001679,-147997.8764743175,307.56041092011026
7600,15.200000000001745,-147411.9988553878,302.4642228971692
7700,15.400000000001812,-147711.5733703798,303.83649577121787
7800,15.600000000001879,-147725.5110780105,304.7799953926219
7900,15.800000000001946,-147668.22180950514,303.8824810762367
8000,16.00000000000201,-147793.09257301674,303.87862712692686
8100,16.2000000000019,-147652.83843862155,301.6636865968626
8200,16.40000000000179,-148031.7749627196,301.7108774017853
8300,16.60000000000168,-148042.18900413302,303.23320761412924
8400,16.800000000001567,-148461.37062153182,304.70952631109463
8500,17.000000000001457,-147782.7239329424,296.1173662009802
8600,17.200000000001346,-148378.0270922328,300.15173330428655
8700,17.400000000001235,-148378.36050339506,300.14811754014823
8800,17.600000000001124,-147750.28519418772,294.74464547128275
8900,17.800000000001013,-148380.81987345192,302.9320837842895
9000,18.000000000000902,-148469.57810036556,303.28420118574775
9100,18.20000000000079,-148518.70677543475,297.13420385978725
9200,18.40000000000068,-148633.89442375913,299.6534074368466
9300,18.60000000000057,-148488.09321904732,297.4321652614516
9400,18.80000000000046,-148400.3957501496,295.85774714042725
9500,19.000000000000348,-148714.1711561306,299.7013193188613
9600,19.200000000000237,-148607.477756835,294.42900853883816
9700,19.400000000000126,-148780.52509940907,293.0516139983297
9800,19.600000000000016,-148513.701730806,295.30700622935416
9900,19.799999999999905,-148714.37370464992,298.41882590036806
10000,19.999999999999794,-148691.72964441185,298.11603308351334
